Geracao,MelhorFitness,MediaFitness,RecordeHistorico,GenesR,GenesA
0,49,2.6024,0,[],[82-72-17-2-38-93-9]
1,51,5.481,49,[82-72-17-2-38-93-9],[85-62-44-39-21-59-8]
2,54.3,3.514,51,[85-62-44-39-21-59-8],[84-71-44-45-43-59-26]
3,50.8,3.1486,54.3,[84-71-44-45-43-59-26],[81-68-41-41-43-63-27]
4,44.9,2.6017,54.3,[84-71-44-45-43-59-26],[82-64-41-37-40-60-25]
5,46.3,2.6885,54.3,[84-71-44-45-43-59-26],[81-65-41-39-41-61-24]
6,48.2,3.0193,54.3,[84-71-44-45-43-59-26],[81-65-37-34-41-61-24]
7,48.2,3.2637,54.3,[84-71-44-45-43-59-26],[80-64-40-35-41-61-25]
8,49,2.8167,54.3,[84-71-44-45-43-59-26],[80-64-39-34-39-61-22]
9,48.3,2.8982,54.3,[84-71-44-45-43-59-26],[78-62-39-34-39-60-23]
10,47,2.7218,54.3,[84-71-44-45-43-59-26],[79-63-42-33-41-60-23]
11,47,3.5572,54.3,[84-71-44-45-43-59-26],[78-61-37-33-39-60-23]
12,48.3,2.9613,54.3,[84-71-44-45-43-59-26],[76-62-38-37-35-58-25]
13,45,2.6748,54.3,[84-71-44-45-43-59-26],[74-62-37-37-38-58-23]
14,50.3,3.1491,54.3,[84-71-44-45-43-59-26],[75-62-37-36-37-59-21]
15,52.3,3.3118,54.3,[84-71-44-45-43-59-26],[75-62-38-36-37-58-23]
16,54.1,3.2253,54.3,[84-71-44-45-43-59-26],[74-61-36-33-38-58-22]
17,45.6,2.9598,54.3,[84-71-44-45-43-59-26],[75-61-36-33-37-59-22]
18,49,3.3116,54.3,[84-71-44-45-43-59-26],[75-61-37-32-37-59-22]
19,45.6,3.2323,54.3,[84-71-44-45-43-59-26],[74-62-36-35-37-58-21]
20,50.9,2.9533,54.3,[84-71-44-45-43-59-26],[70-60-36-35-37-58-21]
21,48.3,3.2157,54.3,[84-71-44-45-43-59-26],[72-60-35-34-37-55-23]
22,52.9,2.9864,54.3,[84-71-44-45-43-59-26],[72-60-35-35-37-56-22]
23,48.3,3.0273,54.3,[84-71-44-45-43-59-26],[71-60-35-34-37-56-21]
24,45,3.1873,54.3,[84-71-44-45-43-59-26],[71-62-35-34-37-53-21]
25,46.9,2.8515,54.3,[84-71-44-45-43-59-26],[67-63-35-32-37-55-19]
26,49.5,3.1343,54.3,[84-71-44-45-43-59-26],[69-62-34-36-36-54-20]
27,48.9,3.1654,54.3,[84-71-44-45-43-59-26],[69-62-35-33-38-59-20]
28,51.6,3.407,54.3,[84-71-44-45-43-59-26],[69-61-34-33-37-56-23]
29,44.7,2.9778,54.3,[84-71-44-45-43-59-26],[68-60-34-35-35-60-21]
30,51,2.8427,54.3,[84-71-44-45-43-59-26],[68-60-33-28-36-57-21]
31,48.9,3.1022,54.3,[84-71-44-45-43-59-26],[68-60-33-31-36-57-19]
32,51,3.3764,54.3,[84-71-44-45-43-59-26],[67-60-33-31-34-57-22]
33,49,3.3575,54.3,[84-71-44-45-43-59-26],[67-59-32-32-33-57-21]
34,52.3,3.3886,54.3,[84-71-44-45-43-59-26],[66-59-32-31-33-57-21]
35,46.9,3.2835,54.3,[84-71-44-45-43-59-26],[66-59-36-31-33-57-20]
36,48.9,2.9347,54.3,[84-71-44-45-43-59-26],[66-59-39-30-33-57-20]
37,46.3,3.2606,54.3,[84-71-44-45-43-59-26],[66-59-38-27-33-56-19]
38,49,4.041,54.3,[84-71-44-45-43-59-26],[69-58-40-26-33-56-19]
39,48.8,3.5847,54.3,[84-71-44-45-43-59-26],[67-58-38-27-30-56-18]
40,49.6,3.3058,54.3,[84-71-44-45-43-59-26],[66-59-35-27-31-56-18]
41,50.9,3.4166,54.3,[84-71-44-45-43-59-26],[64-58-36-23-31-55-17]
42,51,3.785,54.3,[84-71-44-45-43-59-26],[65-57-32-25-31-57-13]
43,50.3,3.8083,54.3,[84-71-44-45-43-59-26],[66-57-34-25-31-54-15]
